name	score	station	tel	address	latitude	longitude	open_time	closed_days	sheets	url	icon_url
むぎとオリーブ 銀座店	3.63	東銀座駅	03-3571-2123	東京都中央区銀座6-12-12 銀座ステラビル 1F	35.668956483191664	139.7642844939659	【平日】11:30～22:00（L.O.21:45）【土・祝】11:30～21:00（L.O.20:45）※いずれもスープ無くなり次第終了※基本的には通し営業ですが、仕込みの都合上15:30より2時間程、店を閉める場合もございます。	日曜	15席 （カウンター15席）	https://tabelog.com/tokyo/A1301/A130101/13164932/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/85187/85187148.jpg?token=71fafd0&api=v2
麺処 銀笹 （ぎんざさ）	3.63	築地市場駅	03-3543-0280	東京都中央区銀座8-15-2 藤ビル 1F	35.666225648857925	139.7634077480677	11:30～15:0017:30～22:00	日曜・祝日	18席 （４人掛けテーブル４卓、２人掛けテーブル１卓）	https://tabelog.com/tokyo/A1301/A130103/13119563/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/70302/70302125.jpg?token=de765cc&api=v2
麺屋ひょっとこ	3.61	有楽町駅	03-3211-6002	東京都千代田区有楽町2-10-1 東京交通会館 B1F	35.67510027388355	139.76447863941524	[平日]11:00～20:00[土]11:00～19:00※売り切れ次第終了	日・祝	7席 （カウンターのみ）	https://tabelog.com/tokyo/A1301/A130102/13046637/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/80248/80248744.jpg?token=823a60c&api=v2
新橋 纏 （まとい）	3.61	新橋駅	03-3436-6003	東京都港区新橋3-13-2 新共ビル1F	35.66575751883774	139.75627808396132	【平日】11:00～15:0017:30～22:00【土】11:00～15:0017:30～21:00【日・祝】11:00〜15:0017:30〜20:00 日曜営業	無休	9席 （カウンター席のみ）	https://tabelog.com/tokyo/A1301/A130103/13156937/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/30258/30258520.jpg?token=c17b224&api=v2
SHIBIRE NOODLE 蝋燭屋 （シビレヌードルロウソクヤ）	3.61	銀座駅	03-6263-2970	東京都中央区銀座3-5-16 第一島田ビル 1F	35.67270916760945	139.7660163995731	11:30～15:30(L.O) 17:30～22:00(L.O.21:45)	日曜	14席 （カウンター14席）	https://tabelog.com/tokyo/A1301/A130101/13214085/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/74895/74895427.jpg?token=83e179b&api=v2
自家製麺 伊藤 銀座店	3.60	東銀座駅	03-6274-6445	東京都中央区銀座6-12-2 東京銀座ビルディング B1F	35.66929673542866	139.76490581558826	[月～金]11:00～23:00(売切れ仕舞)[土・日・祝]11:00～20:00(売切れ仕舞) 日曜営業	無休(年末年始を除く)	13席 （カウンター5席、テーブル４人掛け×１席・２人掛け席×２席）	https://tabelog.com/tokyo/A1301/A130101/13164387/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/44147/44147420.jpg?token=d822b7d&api=v2
銀座 風見 （ギンザ カザミ）	3.60	銀座駅	03-3572-0737	東京都中央区銀座6-4-13 浅黄ビル 1F	35.67120896822499	139.7613179699602	【平日・土】11:30～15:20（L.O.）17:30～22:00（L.O.）【祝】11:30～20:00（L.O.）	日曜	8席 （カウンター8席）	https://tabelog.com/tokyo/A1301/A130101/13197387/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/75327/75327230.jpg?token=d10b828&api=v2
支那麺　はしご 本店 （橋悟）	3.59	銀座駅	03-3571-1750	東京都中央区銀座6-3-5 第二ソワレ・ド・ビル　１F	35.67161448196358	139.76140711055317	[月～金]11:00～翌5:00[土・日・祝]11:00～21:00(L.O.20:50) 日曜営業	無休	24席 （カウンターのみ）	https://tabelog.com/tokyo/A1301/A130101/13092185/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/77348/77348873.jpg?token=e7a6986&api=v2
銀座 朧月 （おぼろづき）	3.59	銀座駅	非公開	東京都中央区銀座6-3-5	35.67162037053387	139.76141851056323	[月.火.祝]11:30～15:3017:30～22:00[水.木.金]11:30〜16:0017:30〜23:00【土・日]11:30～16:0017:00～22:00※スープがなくなり次第終了 日曜営業	無休	7席 （カウンターのみ）	https://tabelog.com/tokyo/A1301/A130101/13118141/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/11357/11357832.jpg?token=99da07f&api=v2
麺屋 武一 （たけいち）	3.59	新橋駅	03-5510-8908	東京都港区新橋3-6-13 新橋池野第3ビル 1F	35.66620717529442	139.7552664806052	[平日]11:30～16:00（L.O.15:55）17:30～翌2:00（L.O.翌1:50）[土・祝]11:30～18:00（L.O.17:55）※スープ切れ次第終了する場合あり	日曜	20席 （カウンター４席、４人掛けテーブル２卓、２人掛けテーブル４卓）	https://tabelog.com/tokyo/A1301/A130103/13143712/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/59866/59866535.jpg?token=89c64db&api=v2
