name	score	station	tel	address	latitude	longitude	open_time	closed_days	sheets	url	icon_url	x	delegate1	delegate2	geometry
麺屋ひょっとこ 交通会館店	3.78	有楽町駅	03-3211-6002	東京都千代田区有楽町2-10-1 東京交通会館 B1F	35.675099718382555	139.76447836168614	[平日]11:00～20:00[土]11:00～19:00※売り切れ次第終了	日・祝	7席 （カウンターのみ）	https://tabelog.com/tokyo/A1301/A130102/13046637/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/102294/102294618.jpg?token=197b3f1&api=v2	1	1	0	POINT (139.7644783616861 35.67509971838255)
むぎとオリーブ 銀座店	3.78	東銀座駅	03-3571-2123	東京都中央区銀座6-12-12 銀座ステラビル 1F	35.668956483191664	139.7642844939659	【平日】11:30～22:00（L.O.21:45）【土・祝】11:30～21:00（L.O.20:45）※いずれもスープ無くなり次第終了※基本的には通し営業ですが、仕込みの都合上15:30より2時間程、店を閉める場合もございます。	日曜日	15席 （カウンター15席）	https://tabelog.com/tokyo/A1301/A130101/13164932/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/85187/85187148.jpg?token=71fafd0&api=v2	1	1	1	POINT (139.7642844939659 35.66895648319166)
麺処 銀笹 （ぎんざさ）	3.78	築地市場駅	03-3543-0280	東京都中央区銀座8-15-2 藤ビル 1F	35.66622509335693	139.76340747033856	11:30～15:0017:30～22:00	日曜・祝日	18席 （４人掛けテーブル４卓、２人掛けテーブル１卓）	https://tabelog.com/tokyo/A1301/A130103/13119563/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/79247/79247813.jpg?token=616984d&api=v2	1	1	1	POINT (139.7634074703386 35.66622509335693)
銀座 朧月 （おぼろづき）	3.77	銀座駅	非公開	東京都中央区銀座6-3-5 第一高橋ビル 1F	35.67158170760406	139.76140211247727	【月・火・水】11:30～15:3017:30～22:00【木・金】11:30〜15:3017:30〜23:00【土・祝】11:30～15:3017:30～22:00【日】11:30～15:3017:30～22:00※スープがなくなり次第終了	第１週土曜日	7席 （カウンターのみ）	https://tabelog.com/tokyo/A1301/A130101/13118141/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/11357/11357832.jpg?token=99da07f&api=v2	1	1	0	POINT (139.7614021124773 35.67158170760406)
新橋 纏 （まとい）	3.77	新橋駅	03-3436-6003	東京都港区新橋3-13-2 IKENO-5 1F	35.665865840934096	139.75629807731355	【平日】11:00～15:0017:30～22:00【土】11:00～15:0017:30～21:00【日・祝】11:00〜15:0017:30〜20:00	無休	9席 （カウンター席のみ）	https://tabelog.com/tokyo/A1301/A130103/13156937/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/43565/43565212.jpg?token=7747ece&api=v2	1	1	0	POINT (139.7562980773135 35.6658658409341)
自家製麺 伊藤 銀座店	3.76	東銀座駅	03-6274-6445	東京都中央区銀座6-12-2 東京銀座ビルディング B1F	35.66929673542866	139.76490581558826	[月～金]11:00～23:00(売切れ仕舞)[土・日・祝]11:00～20:00(売切れ仕舞)	無休(年末年始を除く)	13席 （カウンター5席、テーブル４人掛け×１席・２人掛け席×２席）	https://tabelog.com/tokyo/A1301/A130101/13164387/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/44147/44147420.jpg?token=d822b7d&api=v2	1	0	0	POINT (139.7649058155883 35.66929673542866)
東京スタイルみそらーめん ど・みそ 京橋本店	3.73	銀座一丁目駅	03-6904-3700	東京都中央区京橋3-4-3 千成ビル　１Ｆ	35.675390585722866	139.7682063720165	[月～金]11:00～22:30(L.O)[土・日・祝]11:00～21:00(L.O)全日、中休み無しの通し営業です	無休	12席 （カウンターのみ）	https://tabelog.com/tokyo/A1301/A130101/13031470/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/26984/26984422.jpg?token=e0fef0a&api=v2	1	1	0	POINT (139.7682063720165 35.67539058572287)
麺屋 武一 （たけいち）	3.73	新橋駅	03-5510-8908	東京都港区新橋3-6-13 新橋池野第3ビル 1F	35.666207175294424	139.7552664806052	[平日]11:30～16:00（L.O.15:55）17:30～翌2:00（L.O.翌1:50）[土・祝]11:30～18:00（L.O.17:55）※スープ切れ次第終了する場合あり	日曜	20席 （カウンター４席、４人掛けテーブル２卓、２人掛けテーブル４卓）	https://tabelog.com/tokyo/A1301/A130103/13143712/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/68258/68258224.jpg?token=59bbfba&api=v2	1	0	0	POINT (139.7552664806052 35.66620717529442)
銀座 風見 （ギンザ カザミ）	3.73	銀座駅	03-3572-0737	東京都中央区銀座6-4-13 浅黄ビル 1F	35.671208968224995	139.7613179699602	【平日・土】11:30～15:20（L.O.）17:30～22:00（L.O.）【祝】11:30～20:00（L.O.）	日曜	8席 （カウンター8席）	https://tabelog.com/tokyo/A1301/A130101/13197387/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/75327/75327230.jpg?token=d10b828&api=v2	1	0	0	POINT (139.7613179699602 35.671208968225)
SHIBIRE NOODLES 蝋燭屋 （シビレヌードルロウソクヤ）	3.72	銀座駅	03-6263-2970	東京都中央区銀座3-5-16 第一島田ビル 1F	35.67270861210846	139.76601612184396	11:00～15:00(L.O) 17:00～21:00(L.O)	日曜	14席 （カウンター14席）	https://tabelog.com/tokyo/A1301/A130101/13214085/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/74895/74895427.jpg?token=83e179b&api=v2	1	0	0	POINT (139.766016121844 35.67270861210846)
